Name	tpm	expression_level	log_tpm	locus_tag
dnaA	333.0978006727667	high	8.379802018212184	PA0001
dnaN	299.12732109893335	high	8.224615876272903	PA0002
recF	128.15197537013333	medium_high	7.001711906677574	PA0003
gyrB	138.57905155336667	medium_high	7.114565377233662	PA0004
lptA	141.41321743893332	medium_high	7.143773160292814	PA0005
PA0006	233.1955301518333	high	7.865396325270312	PA0006
PA0007	36.78860006713334	medium_low	5.201186872730415	PA0007
glyS	55.91114776086667	medium_low	5.8050640562364775	PA0008
glyQ	39.66977937196666	medium_low	5.309968468678731	PA0009
tag	23.040104953633335	low	4.526075383531366	PA0010
PA0011	129.8261677713	medium_high	7.020437392133122	PA0011
PA0012	159.76318212426668	high	7.319791163204921	PA0012
PA0013	25.66197890533333	low	4.681560522011332	PA0013
PA0014	17.178818266066667	low	4.102558891531173	PA0014
PA0015	193.12078411126663	high	7.593359628639469	PA0015
trkA	98.00579079959999	medium_high	6.6147950901462975	PA0016
PA0017	64.99322820076667	medium_low	6.022217503026681	PA0017
fmt	73.87669489683333	medium_high	6.207047419212478	PA0018
def	766.2828578699	high	9.581733222029518	PA0019
PA0020	380.71570339083337	high	8.572570267783238	PA0020
PA0021	15.6647999125	low	3.9694544370771747	PA0021
PA0022	197.7164780761	high	7.627289302865154	PA0022
qor	74.8042621014	medium_high	6.225048567371635	PA0023
hemF	881.2306331615667	high	9.783375836359292	PA0024
aroE	503.9295753649333	high	8.977078319589454	PA0025
plcB	203.02292595626668	high	7.66549883982493	PA0026
PA0027	76.18340375996667	medium_high	6.2514048416744625	PA0027
PA0028	80.0846948744	medium_high	6.32345464790084	PA0028
PA0029	22.67198188496667	low	4.50283860553543	PA0029
PA0030	10.513307148166666	low	3.3941446610234998	PA0030
betC	24.245053994699997	low	4.599618561564446	PA0031
PA0032	53.20465945316667	medium_low	5.733480691659273	PA0032
PA0032a	128.56675941733332	medium_high	7.006373875810069	PA0032a
PA0033	62.06022946203333	medium_low	5.955597125997074	PA0033
PA0034	28.621198386699998	low	4.839012174721107	PA0034
trpA	71.43276898886667	medium_high	6.158514141305366	PA0035
trpB	75.21249047903335	medium_high	6.232900363915239	PA0036
